"Date","Time","Type","Meal Type","Foods","Drinks","Feeling","Severity","Notes"
"2026-01-07","07:30","Meal","Breakfast","Omelette (1 pieces); Khobz (2 slices)","Milk (1 glass)","","",""
"2026-01-07","12:30","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-07","16:00","Meal","Snack","Banana (1 pieces)","Water (1 glass)","","",""
"2026-01-08","09:00","Meal","Breakfast","Msemen (2 pieces); Butter (1 tbsp)","Mint Tea (1 cup)","","",""
"2026-01-08","13:00","Meal","Lunch","Pasta (1 plate); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-08","16:00","Meal","Snack","Briouats (3 pieces)","Mint Tea (1 cup)","","",""
"2026-01-08","20:30","Meal","Dinner","Lamb Tagine (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-09","07:30","Meal","Breakfast","Khobz (2 slices); Cheese (2 slices)","Coffee (1 cup)","","",""
"2026-01-09","13:30","Meal","Lunch","Chicken Tagine (1 plate); Khobz (2 slices); Moroccan Salad (1 bowl)","Water (1 glass)","","",""
"2026-01-09","20:30","Meal","Dinner","Tangia (1 plate); Khobz (2 slices)","Water (1 glass)","","",""
"2026-01-10","07:30","Meal","Breakfast","Fried Eggs (2 pieces); Khobz (2 slices)","Orange Juice (1 glass)","","",""
"2026-01-10","08:30","Feeling","","","","nauseous","4",""
"2026-01-10","13:00","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-10","20:30","Meal","Dinner","Harira (1 bowl); Khobz (2 slices); Dates (5 pieces)","Mint Tea (1 cup)","","",""
"2026-01-11","08:00","Meal","Breakfast","Croissant (1 pieces)","Coffee (1 cup)","","",""
"2026-01-11","13:30","Meal","Lunch","Couscous (1 plate); Moroccan Salad (1 bowl)","Lben (1 glass)","","",""
"2026-01-11","20:00","Meal","Dinner","Boiled Eggs (2 pieces); Zaalouk (1 bowl); Khobz (2 slices)","Mint Tea (1 cup)","","",""
"2026-01-12","09:00","Meal","Breakfast","Yogurt Bowl (1 bowl); Dates (5 pieces)","Water (1 glass)","","",""
"2026-01-12","12:00","Feeling","","","","bloated","2",""
